transfer_datetime,from_account,from_currency,from_amount,to_account,to_currency,to_amount,exchange_rate,rate_type,note
2024-12-31 00:00:00,One,TWD,30216.00,Two,TWD,30216.00,1.00000,RawCSV,
2025-01-06 17:47:08,鎂薪,USD,2950.00,One,TWD,96031.29,32.55298,RawCSV,
2025-01-22 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
2025-01-31 00:00:00,One,TWD,16000.00,Two,TWD,16000.00,1.00000,RawCSV,
2025-01-31 00:00:00,One,TWD,5114.00,Two,TWD,5114.00,1.00000,RawCSV,
2025-01-31 00:00:00,One,TWD,11913.00,Two,TWD,11913.00,1.00000,RawCSV,
2025-02-06 00:00:00,鎂薪,USD,3100.00,One,TWD,102379.00,33.02548,RawCSV,
2025-02-23 00:00:00,One,TWD,440.00,日円,JPY,2000.00,4.54545,RawCSV,
2025-02-24 00:00:00,One,TWD,16134.00,借錢,TWD,16134.00,1.00000,RawCSV,
2025-02-28 00:00:00,One,TWD,16000.00,Two,TWD,16000.00,1.00000,RawCSV,
2025-02-28 00:00:00,One,TWD,5083.00,Two,TWD,5083.00,1.00000,RawCSV,
2025-03-05 00:00:00,日円,JPY,10000.00,馬幣,MYR,300.00,0.03000,RawCSV,
2025-03-05 00:00:00,鎂薪,USD,3533.00,One,TWD,116073.00,32.85395,RawCSV,
2025-03-20 00:00:00,One,TWD,16000.00,Two,TWD,16000.00,1.00000,RawCSV,
2025-03-24 00:00:00,One,TWD,16134.00,借錢,TWD,16134.00,1.00000,RawCSV,
2025-03-31 00:00:00,One,TWD,6944.00,Two,TWD,6944.00,1.00000,RawCSV,
2025-04-07 00:00:00,鎂薪,USD,3438.00,One,TWD,114253.00,33.23240,RawCSV,
2025-04-22 00:00:00,One,TWD,16131.00,借錢,TWD,16131.00,1.00000,RawCSV,
2025-04-30 00:00:00,One,TWD,16000.00,Two,TWD,16000.00,1.00000,RawCSV,
2025-04-30 00:00:00,One,TWD,10217.00,Two,TWD,10217.00,1.00000,RawCSV,
2025-05-05 00:00:00,鎂薪,USD,3035.00,One,TWD,91002.00,29.98418,RawCSV,
2025-05-15 00:00:00,One,TWD,220.00,Two,TWD,220.00,1.00000,RawCSV,
2025-05-22 00:00:00,One,TWD,16132.00,借錢,TWD,16132.00,1.00000,RawCSV,
2025-05-31 00:00:00,One,TWD,16000.00,Two,TWD,16000.00,1.00000,RawCSV,
2025-05-31 00:00:00,One,TWD,6335.00,Two,TWD,6335.00,1.00000,RawCSV,
2025-06-05 19:16:10,鎂薪,USD,3100.00,One,TWD,93015.00,30.00484,RawCSV,
2025-06-23 00:00:00,鎂薪,USD,2900.00,One,TWD,86093.00,29.68724,RawCSV,
2025-06-23 00:00:00,One,TWD,16131.00,借錢,TWD,16131.00,1.00000,RawCSV,
2025-06-30 00:00:00,One,TWD,11432.00,Two,TWD,11432.00,1.00000,RawCSV,
2025-06-30 00:00:00,One,TWD,90290.00,Two,TWD,90290.00,1.00000,RawCSV,
2025-07-06 00:00:00,鎂薪,USD,7754.80,One,TWD,225545.00,29.08457,RawCSV,
2025-07-18 00:00:00,美股,USD,3318.00,美幣,USD,3318.00,1.00000,RawCSV,
2025-07-22 00:00:00,One,TWD,16131.00,借錢,TWD,16131.00,1.00000,RawCSV,
2025-07-24 11:46:56,美幣,USD,3290.40,One,TWD,96368.00,29.28762,RawCSV,
2025-07-31 00:00:00,One,TWD,15359.00,Two,TWD,15359.00,1.00000,RawCSV,
2025-08-22 00:00:00,One,TWD,16131.00,借錢,TWD,16131.00,1.00000,RawCSV,
2025-08-31 00:00:00,One,TWD,57549.00,Two,TWD,57549.00,1.00000,RawCSV,
2025-09-22 00:00:00,One,TWD,16132.00,借錢,TWD,16132.00,1.00000,RawCSV,
2025-09-30 00:00:00,One,TWD,80947.00,Two,TWD,80947.00,1.00000,RawCSV,
2025-10-22 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
2025-10-31 00:00:00,One,TWD,56163.00,Two,TWD,56163.00,1.00000,RawCSV,
2025-11-24 00:00:00,One,TWD,16132.00,借錢,TWD,16132.00,1.00000,RawCSV,
2025-11-30 00:00:00,One,TWD,82207.00,Two,TWD,82207.00,1.00000,RawCSV,
2025-12-22 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
2025-12-31 00:00:00,One,TWD,63450.00,Two,TWD,63450.00,1.00000,RawCSV,
2026-01-14 16:49:25,美股,USD,5706.00,One,TWD,179089.00,31.38608,RawCSV,
2026-01-22 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
2026-01-31 00:00:00,One,TWD,75343.00,Two,TWD,75343.00,1.00000,RawCSV,
2026-02-23 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
2026-02-28 00:00:00,One,TWD,51107.00,Two,TWD,51107.00,1.00000,RawCSV,
2026-03-23 00:00:00,One,TWD,16133.00,借錢,TWD,16133.00,1.00000,RawCSV,
