datetime,account,category,amount,currency,note,record_type
2016-08-12 00:00:00,One,補給,100.0,TWD,From Emma,transaction
2016-08-12 00:00:00,One,補給,350.0,TWD,,transaction
2016-08-13 00:00:00,One,增肥,-165.0,TWD,,transaction
2016-08-13 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-14 00:00:00,One,增肥,-100.0,TWD,白砂糖,transaction
2016-08-14 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-15 00:00:00,One,增肥,-100.0,TWD,中餐,transaction
2016-08-15 00:00:00,One,增肥,-89.0,TWD,Subway,transaction
2016-08-16 00:00:00,One,增肥,-100.0,TWD,早餐,transaction
2016-08-16 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-16 00:00:00,One,增肥,-110.0,TWD,鹹酥雞,transaction
2016-08-17 00:00:00,One,增肥,-220.0,TWD,,transaction
2016-08-17 00:00:00,One,增肥,-500.0,TWD,水餃,transaction
2016-08-18 00:00:00,One,增肥,-100.0,TWD,晚餐,transaction
2016-08-18 00:00:00,One,汽車,-1900.0,TWD,違規停車,transaction
2016-08-19 00:00:00,One,增肥,-131.0,TWD,早餐,transaction
2016-08-19 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-19 00:00:00,One,補給,50.0,TWD,From 家斌,transaction
2016-08-20 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-21 00:00:00,One,增肥,-235.0,TWD,早餐,transaction
2016-08-21 00:00:00,One,增肥,-560.0,TWD,晚餐牛排,transaction
2016-08-22 00:00:00,One,增肥,-131.0,TWD,早餐,transaction
2016-08-23 00:00:00,One,增肥,-209.0,TWD,Subway,transaction
2016-08-24 00:00:00,One,增肥,-100.0,TWD,,transaction
2016-08-24 00:00:00,One,增肥,-100.0,TWD,早餐,transaction
2016-08-24 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-25 00:00:00,One,增肥,-28.0,TWD,,transaction
2016-08-25 00:00:00,One,增肥,-138.0,TWD,,transaction
